gvkey,Name,sector_name,carbon_major,date,case,country,region,novel,courtlaw,govplaintiff,interest,damages,major_changes,novel_weight,courtlaw_weight,govplaintiff_weight,interest_weight,damages_weight,major_weight,profile_sum,,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,,name,country,region,gic_sector,Total # filings,,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,,,,,,,,,,,,,,,,,,,,,,
001440,American Electric Power,Utilities,0,5/9/2008,Connecticut v. Am. Elec. Power,US,North America,No,Yes,No,No,No,Yes,0,3,0,0,0,3,6,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Arch Resources,US,North America,10,6,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,10,,AIG,2011-12-31,2012-02-23,,,,
004029,Dominion Energy,Utilities,0,10/23/2008,"Burton v. Dominion Nuclear Connecticut, Inc.",US,North America,No,Yes,No,No,No,No,0,3,0,0,0,0,3,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Arkema,France,Europe,15,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,11,,AIG,2012-12-31,2013-02-21,,,,
010795,United Airlines Holdings Inc,Industrials,0,12/27/2010,Sao Paulo Public Prosecutor's Office v. United Airlines and Others,US,North America,Yes,Yes,Yes,No,Yes,No,2,3,1,0,3,0,9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Ascent Resources,UK,Europe,10,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,12,,AIG,2013-12-31,2014-02-20,,,,
003851,Delta Air Lines,Industrials,0,12/27/2010,Sao Paulo Public Prosecutor's Office v. United Airlines and Others,US,North America,Yes,Yes,Yes,No,Yes,No,2,3,1,0,3,0,9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Ashland Inc,US,,,1,"CHECK - Would remove because Hercules, the target company, was bought by Ashland, which was privatized before the date of the lawsuit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,13,,AIG,2014-12-31,2015-02-20,,,,
007620,Murphy Oil Corp,Energy,1,5/27/2011,"Comer v. Murphy Oil USA, Inc.",US,North America,Yes,Yes,No,No,Yes,Yes,2,3,0,0,3,3,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Banco Santander SA ,Spain,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,14,,AIG,2015-12-31,2016-02-19,,,,
001300,Honeywell International,Industrials,0,5/27/2011,"Comer v. Murphy Oil USA, Inc.",US,North America,Yes,Yes,No,No,Yes,Yes,2,3,0,0,3,3,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,BASF SE ,Germany,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,15,,AIG,2016-12-31,2017-02-23,,,,
002991,Chevron,Energy,1,5/27/2011,"Comer v. Murphy Oil USA, Inc.",US,North America,Yes,Yes,No,No,Yes,Yes,2,3,0,0,3,3,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Berkshire Hathaway,US,North America,40,0,Remove - no filing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,16,,AIG,2017-12-31,2018-02-16,,,,
004503,ExxonMobil,Energy,1,5/27/2011,"Comer v. Murphy Oil USA, Inc.",US,North America,Yes,Yes,No,No,Yes,Yes,2,3,0,0,3,3,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Bloom Energy Corp,US,North America,20,1,Became public in 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,17,,AIG,2018-12-31,2019-02-15,,,,
012384,Royal Dutch Shell,Energy,1,5/27/2011,"Comer v. Murphy Oil USA, Inc.",UK,Europe,Yes,Yes,No,No,Yes,Yes,2,3,0,0,3,3,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,BMW,Germany,Europe,25,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,18,,AIG,2019-12-31,2020-02-21,,,,
220546,Equinor,Energy,1,11/28/2011,Norwegian Climate Network et al vs Statoil,Norway,Europe,Yes,No,No,No,No,No,2,0,0,0,0,0,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,BNP Paribas,France,,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,19,,AIG,2020-12-31,2021-02-19,,,,
