gvkey,Name,sector_name,carbon_major,date,case,impact,country,region,Positive or negative,Column1,Column2
001440,American Electric Power,Utilities,0,6/20/2011,Connecticut v. Am. Elec. Power,3,US,North America,,,American Electric Power
001440,American Electric Power,Utilities,0,5/13/2010,Connecticut v. Am. Elec. Power,3,US,North America,,,American Electric Power
004503,ExxonMobil,Energy,1,3/14/2019,Conservation Law Foundation v. ExxonMobil Corp.,-3,US,North America,,,ExxonMobil
012384,Royal Dutch Shell,Energy,1,9/28/2020,Conservation Law Foundation v. Shell Oil Co.,-3,UK,Europe,,,Royal Dutch Shell
012384,Royal Dutch Shell,Energy,1,9/28/2020,"Conservation Law Foundation, Inc. v. Shell Oil Products US",0,UK,Europe,,,Royal Dutch Shell
269546,Powszechny Zak?ad Ubezpiecze?,Financials,0,7/26/2019,Development YES – Open-Pit Mines NO v. Group PZU S.A.,0,Poland,Europe,,,Powszechny Zak?ad Ubezpiecze?
004503,ExxonMobil,Energy,1,3/30/2018,Fentress v. Exxon Mobil Corp.,3,US,North America,,,ExxonMobil
004503,ExxonMobil,Energy,1,2/4/2019,Fentress v. Exxon Mobil Corp.,3,US,North America,,,ExxonMobil
024625,Total Energies SE,Energy,1,4/1/2021,Friends of the Earth et al. v. Prefect of of Bouches-du-Rhône and Total,-3,France,Europe,,,Total Energies SE
024625,Total Energies SE,Energy,1,12/16/2021,Friends of the Earth et al. v. Total,-3,France,Europe,,,Total Energies SE
012384,Royal Dutch Shell,Energy,1,11/14/2005,"Gbemre v. Shell Petroleum Development Company of Nigeria Ltd et al. (Federal Court of Nigeria, 2005)",-3,UK,Europe,,,Royal Dutch Shell
100737,Volkswagen,Consumer Discretionary,0,11/20/2007,Germanwatch vs. Volkswagen,3,Germany,Europe,,,Volkswagen
011259,Walmart Inc,Consumer Staples,0,9/20/2021,"Greenpeace, Inc. v. Walmart Inc.",3,US,North America,,,Walmart Inc
222139,Flughafen Wien,Industrials,0,3/28/2018,In re Vienna-Schwechat Airport Expansion,3,Austria,Europe,,,Flughafen Wien
222139,Flughafen Wien,Industrials,0,6/1/2017,In re Vienna-Schwechat Airport Expansion,3,Austria,Europe,,,Flughafen Wien
033668,Bloom Energy Corp,Industrials,0,2/25/2021,Jacob v. Bloom Energy Corp.,-3,US,North America,,,Bloom Energy Corp
038676,Oatly,Consumer Staples,0,10/26/2021,Jochims v. Oatly Group AB,3,US,North America,,,Oatly
002410,BP,Energy,1,9/28/2021,King County v. BP p.l.c.,3,UK,Europe,,,BP
038676,Oatly,Consumer Staples,0,10/26/2021,Kostendt v. Oatly Group AB,3,US,North America,,,Oatly
003144,The Coca-Cola Company,Consumer Staples,0,11/15/2021,"Last Beach Cleanup v. TerraCycle, Inc.",3,US,North America,,,The Coca-Cola Company
003121,The Clorox Co,Consumer Staples,0,11/15/2021,"Last Beach Cleanup v. TerraCycle, Inc.",3,US,North America,,,The Clorox Co
008762,Proctor & Gamble,Consumer Staples,0,11/15/2021,"Last Beach Cleanup v. TerraCycle, Inc.",3,US,North America,,,Proctor & Gamble
016603,Nestle,Consumer Staples,0,11/15/2021,"Last Beach Cleanup v. TerraCycle, Inc.",3,Switzerland,Europe,,,Nestle
002663,Campbell Soup Company,Consumer Staples,0,11/15/2021,"Last Beach Cleanup v. TerraCycle, Inc.",3,US,North America,,,Campbell Soup Company
100581,L'Oreal,Consumer Staples,0,11/15/2021,"Last Beach Cleanup v. TerraCycle, Inc.",3,France,Europe,,,L'Oreal
003170,Colgate-Palmolive Co,Consumer Staples,0,11/15/2021,"Last Beach Cleanup v. TerraCycle, Inc.",3,US,North America,,,Colgate-Palmolive Co
100953,RWE,Utilities,1,11/30/2017,Lliuya v. RWE,-3,Germany,Europe,,,RWE
142460,Peabody,Energy,1,3/30/2017,Lynn v. Peabody Energy Corp ,3,US,North America,,,Peabody
012384,Royal Dutch Shell,Energy,1,5/26/2021,Milieudefensie et al. v. Royal Dutch Shell plc.,-3,UK,Europe,,,Royal Dutch Shell
002991,Chevron,Energy,1,5/20/2013,Native Village of Kivalina v. ExxonMobil Corp.,3,US,North America,,,Chevron
004503,ExxonMobil,Energy,1,5/20/2013,Native Village of Kivalina v. ExxonMobil Corp.,3,US,North America,,,ExxonMobil
142460,Peabody,Energy,1,5/20/2013,Native Village of Kivalina v. ExxonMobil Corp.,3,US,North America,,,Peabody
002410,BP,Energy,1,5/20/2013,Native Village of Kivalina v. ExxonMobil Corp.,3,UK,Europe,,,BP
012384,Royal Dutch Shell,Energy,1,5/20/2013,Native Village of Kivalina v. ExxonMobil Corp.,3,UK,Europe,,,Royal Dutch Shell
002991,Chevron,Energy,1,9/21/2012,Native Village of Kivalina v. ExxonMobil Corp.,3,US,North America,,,Chevron
004503,ExxonMobil,Energy,1,9/21/2012,Native Village of Kivalina v. ExxonMobil Corp.,3,US,North America,,,ExxonMobil
142460,Peabody,Energy,1,9/21/2012,Native Village of Kivalina v. ExxonMobil Corp.,3,US,North America,,,Peabody
002410,BP,Energy,1,9/21/2012,Native Village of Kivalina v. ExxonMobil Corp.,3,UK,Europe,,,BP
012384,Royal Dutch Shell,Energy,1,9/21/2012,Native Village of Kivalina v. ExxonMobil Corp.,3,UK,Europe,,,Royal Dutch Shell
148349,TransDigm Group,Industrials,0,1/18/2019,"New York City Employees’ Retirement System v. TransDigm Group, Inc.",0,US,North America,,,TransDigm Group
163935,Global Partners,Energy,0,5/30/2015,"Northwest Environmental Defense Center v. Cascade Kelly Holdings LLC, d/b/a Columbia Pacific Biorefinery, No. 3:14-cv-01059 (D. Or. Dec. 30, 2015)",3,US,North America,,,Global Partners
220546,Equinor,Energy,1,3/13/2012,Norwegian Climate Network et al vs Statoil,3,Norway,Europe,,,Equinor
024625,Total Energies SE,Energy,1,11/18/2021,Notre Affaire a Tous and Others v. Total,-3,France,Europe,,,Total Energies SE
